order_id,customer_id,customer_name,age,gender,city,state,region,loyalty_tier,product_category,product_name,quantity,unit_price,discount,total_sales,order_date,payment_method,customer_rating,return_flag,shipping_days,year,month,month_name,quarter
ORD-12030,CUST-5450,Aditi Kapoor,34,Female,Chandigarh,Punjab,North,Gold,Clothing,Kurti,3,954.73,0.0,2864.19,2024-02-16,Net Banking,5.0,False,5,2024,2,Feb,1
ORD-12926,CUST-5618,Riya Iyer,39,Female,Mumbai,Maharashtra,West,Gold,Electronics,Smartphone,5,26851.87,0.05,127546.38,2024-03-15,Debit Card,3.7,False,3,2024,3,Mar,1
ORD-10611,CUST-5133,Arjun Singh,39,Male,Pune,Maharashtra,West,Silver,Electronics,Smartphone,2,18322.39,0.2,29315.82,2023-03-05,Cash,4.8,False,6,2023,3,Mar,1
ORD-10679,CUST-5232,Geeta Pillai,35,Female,Kochi,Kerala,South,Bronze,Books,Fiction Novel,2,1318.74,0.05,2505.61,2024-02-12,Net Banking,3.8,False,6,2024,2,Feb,1
ORD-10152,CUST-5067,Rohan Patel,45,Female,Ranchi,Jharkhand,East,Bronze,Sports,Badminton Racket,1,5771.78,0.0,5771.78,2023-02-27,Net Banking,3.1,False,5,2023,2,Feb,1
ORD-12484,CUST-5605,Vinod Gupta,53,Male,Guwahati,Assam,East,Gold,Electronics,Laptop,2,72446.01750000002,0.0,144892.04,2024-01-14,UPI,2.4,False,6,2024,1,Jan,1
ORD-11025,CUST-5029,Divya Chatterjee,35,Female,Patna,Bihar,East,Gold,Sports,Running Shoes,2,4166.9,0.05,7917.11,2024-12-04,UPI,3.4,False,5,2024,12,Dec,4
ORD-10907,CUST-5113,Suresh Malhotra,35,Female,Lucknow,Uttar Pradesh,North,Gold,Books,Data Science 101,3,1265.31,0.0,3795.93,2023-09-23,Cash,3.4,False,5,2023,9,Sep,3
ORD-10254,CUST-5109,Harish Tiwari,35,Male,Kochi,Kerala,South,Bronze,Books,Machine Learning A-Z,3,808.19,0.15,2060.88,2024-02-23,Cash,4.0,False,5,2024,2,Feb,1
ORD-12416,CUST-5567,Vinod Malhotra,24,Female,Kochi,Kerala,South,Gold,Electronics,Headphones,4,31111.44,0.2,99556.61,2024-03-24,Net Banking,4.3,False,4,2024,3,Mar,1
ORD-12332,CUST-5506,Priya Chatterjee,29,Female,Amritsar,Punjab,North,Gold,Groceries,Sugar (1kg),4,243.31,0.1,875.92,2023-08-06,Debit Card,4.5,False,2,2023,8,Aug,3
ORD-10346,CUST-5436,Nisha Shah,51,Male,Ranchi,Jharkhand,East,Silver,Furniture,Sofa,3,13291.03,0.0,39873.09,2024-08-09,Net Banking,4.4,False,7,2024,8,Aug,3
ORD-10299,CUST-5732,Vikram Iyer,39,Male,Mumbai,Maharashtra,West,Gold,Electronics,Smart Watch,1,72446.01750000002,0.0,72446.02,2023-10-03,Debit Card,4.2,False,3,2023,10,Oct,4
ORD-12045,CUST-5453,Kavya Iyer,40,Male,Ranchi,Jharkhand,East,Bronze,Sports,Jump Rope,1,6987.1,0.25,5240.33,2023-07-30,Debit Card,4.5,False,6,2023,7,Jul,3
ORD-11295,CUST-5670,Aditi Das,47,Female,Patna,Bihar,East,Gold,Groceries,Pulses (1kg),2,783.85,0.0,1567.7,2023-09-04,Credit Card,3.5,False,4,2023,9,Sep,3
ORD-11357,CUST-5084,Kiran Kumar,26,Female,Bengaluru,Karnataka,South,Silver,Furniture,Wardrobe,5,8854.46,0.0,44272.3,2024-07-10,Cash,3.7,False,6,2024,7,Jul,3
ORD-11422,CUST-5225,Deepa Patel,45,Male,Delhi,Delhi,North,Bronze,Sports,Running Shoes,1,1766.17,0.2,1412.94,2023-10-10,Debit Card,4.4,False,4,2023,10,Oct,4
ORD-12482,CUST-5142,Kavya Joshi,18,Female,Patna,Bihar,East,Gold,Books,Self Help,1,289.59,0.0,289.59,2023-03-18,Credit Card,4.0,False,7,2023,3,Mar,1
ORD-10139,CUST-5083,Manish Reddy,29,Female,Mumbai,Maharashtra,South,Bronze,Clothing,Jacket,2,2478.09,0.1,4460.56,2024-10-15,UPI,3.8,False,5,2024,10,Oct,4
ORD-12603,CUST-5142,Kavya Joshi,18,Female,Amritsar,Punjab,North,Gold,Clothing,Sports Shorts,2,2014.25,0.1,3625.65,2024-09-25,Credit Card,3.9,False,4,2024,9,Sep,3
ORD-10246,CUST-5087,Neha Malhotra,38,Female,Kochi,Kerala,South,Bronze,Sports,Cricket Bat,1,7553.15,0.1,6797.84,2024-11-08,UPI,3.6,False,7,2024,11,Nov,4
ORD-10900,CUST-5050,Kavya Patel,38,Male,Surat,Gujarat,West,Silver,Groceries,Pulses (1kg),1,68.98,0.05,65.53,2023-07-22,Cash,2.5,True,5,2023,7,Jul,3
ORD-12130,CUST-5067,Rohan Patel,45,Female,Nashik,Maharashtra,West,Gold,Furniture,Dining Set,1,47635.03,0.15,40489.78,2024-11-29,Debit Card,3.4,False,6,2024,11,Nov,4
ORD-11681,CUST-5599,Rahul Das,38,Female,Coimbatore,Tamil Nadu,South,Gold,Groceries,Rice (5kg),3,70.3,0.1,189.81,2023-01-21,Net Banking,4.4,False,3,2023,1,Jan,1
ORD-12334,CUST-5582,Tarun Nair,41,Male,Bengaluru,Madhya Pradesh,Central,Gold,Electronics,LED Monitor,2,8519.31,0.2,13630.9,2023-11-28,Net Banking,4.4,True,5,2023,11,Nov,4
ORD-10889,CUST-5620,Nisha Patel,27,Female,Amritsar,Punjab,North,Silver,Sports,Cycling Gloves,1,6298.89,0.05,5983.95,2023-05-05,Net Banking,3.8,True,4,2023,5,May,2
ORD-11268,CUST-5144,Suresh Gupta,37,Female,Mumbai,Maharashtra,West,Bronze,Groceries,Biscuits,3,729.8,0.2,1751.52,2023-08-07,UPI,3.0,False,4,2023,8,Aug,3
ORD-11926,CUST-5328,Amit Rao,41,Female,Guwahati,Assam,East,Bronze,Books,Python Crash Course,5,325.0,0.25,1218.75,2024-05-02,Net Banking,3.8,False,5,2024,5,May,2
ORD-11620,CUST-5522,Tarun Bose,28,Female,Patna,Bihar,East,Silver,Clothing,Sports Shorts,1,4274.36,0.15,3633.21,2024-12-24,UPI,4.0,False,7,2024,12,Dec,4
ORD-10700,CUST-5691,Geeta Patel,46,Female,Nagpur,Maharashtra,Central,Bronze,Groceries,Sugar (1kg),2,197.6,0.0,395.2,2023-08-10,Credit Card,3.8,False,3,2023,8,Aug,3
ORD-11061,CUST-5377,Rahul Iyer,36,Male,Ranchi,Jharkhand,East,Bronze,Electronics,Smart Watch,1,7904.53,0.0,7904.53,2023-12-03,Net Banking,3.2,False,7,2023,12,Dec,4
ORD-10485,CUST-5424,Lakshmi Tiwari,41,Female,Coimbatore,Tamil Nadu,South,Silver,Electronics,Laptop,1,30738.01,0.1,27664.21,2024-02-24,Net Banking,3.6,False,5,2024,2,Feb,1
ORD-11356,CUST-5701,Harish Reddy,45,Female,Mumbai,Maharashtra,West,Bronze,Furniture,Study Table,3,3941.81,0.15,10051.62,2024-03-08,UPI,2.8,False,4,2024,3,Mar,1
ORD-12310,CUST-5044,Deepa Nair,20,Female,Kochi,Kerala,South,Silver,Furniture,Office Chair,1,20935.77,0.2,16748.62,2023-02-20,UPI,3.1,False,7,2023,2,Feb,1
ORD-12181,CUST-5146,Rahul Rao,22,Male,Kochi,Kerala,South,Bronze,Groceries,Sugar (1kg),2,162.22,0.0,324.44,2023-02-27,Credit Card,4.4,False,6,2023,2,Feb,1
ORD-10761,CUST-5607,Nisha Pillai,22,Female,Kochi,Kerala,South,Gold,Electronics,LED Monitor,3,72446.01750000002,0.0,217338.05,2023-10-08,UPI,3.7,False,6,2023,10,Oct,4
ORD-10746,CUST-5091,Deepa Malhotra,44,Female,Ranchi,Jharkhand,East,Gold,Electronics,Smart Watch,2,51967.41,0.0,103934.82,2023-03-31,UPI,3.8,False,7,2023,3,Mar,1
ORD-10321,CUST-5673,Arjun Iyer,31,Male,Coimbatore,Tamil Nadu,South,Bronze,Sports,Running Shoes,2,4684.11,0.15,7962.99,2024-05-31,UPI,3.3,False,6,2024,5,May,2
ORD-12707,CUST-5651,Pooja Das,46,Male,Hyderabad,Telangana,South,Bronze,Books,Python Crash Course,5,327.59,0.25,1228.46,2024-04-16,Credit Card,3.7,False,6,2024,4,Apr,2
ORD-10188,CUST-5115,Kavya Nair,38,Female,Surat,Gujarat,West,Silver,Books,Fiction Novel,1,150.62,0.25,112.96,2024-05-09,Cash,3.2,True,4,2024,5,May,2
ORD-10772,CUST-5388,Swati Sharma,44,Female,Amritsar,Punjab,North,Silver,Furniture,Bookshelf,1,43571.3,0.2,34857.04,2023-11-20,Cash,3.8,False,4,2023,11,Nov,4
ORD-12496,CUST-5029,Divya Chatterjee,32,Female,Coimbatore,Tamil Nadu,South,Gold,Sports,Jump Rope,2,3362.19,0.05,6388.16,2024-06-20,Credit Card,3.7,True,4,2024,6,Jun,2
ORD-11451,CUST-5474,Divya Nair,51,Female,Jabalpur,Madhya Pradesh,Central,Bronze,Sports,Football,3,990.18,0.2,2376.43,2024-04-30,Cash,3.4,False,5,2024,4,Apr,2
ORD-12354,CUST-5157,Sneha Iyer,35,Male,Kochi,Kerala,South,Silver,Books,Business Guide,2,826.51,0.25,1239.76,2023-01-04,Credit Card,3.9,False,3,2023,1,Jan,1
ORD-10410,CUST-5171,Sneha Patel,26,Female,Amritsar,Punjab,North,Gold,Furniture,Bed Frame,4,41565.06,0.1,149634.22,2023-12-29,Net Banking,3.7,False,6,2023,12,Dec,4
ORD-11727,CUST-5094,Nisha Sharma,31,Male,Ranchi,Jharkhand,East,Gold,Electronics,Tablet,2,65892.2,0.0,131784.4,2023-10-15,Cash,3.3,False,8,2023,10,Oct,4
ORD-12852,CUST-5194,Kiran Reddy,36,Female,Bengaluru,Punjab,North,Bronze,Clothing,T-Shirt,1,4559.64,0.1,4103.68,2023-03-18,Cash,4.0,False,3,2023,3,Mar,1
ORD-12216,CUST-5275,Kunal Joshi,39,Male,Bengaluru,Assam,East,Gold,Electronics,LED Monitor,2,18630.5,0.05,35397.95,2023-06-22,Debit Card,4.1,False,8,2023,6,Jun,2
ORD-11398,CUST-5660,Vikram Nair,29,Male,Jaipur,Rajasthan,North,Gold,Furniture,Dining Set,5,33383.89,0.05,158573.48,2023-01-25,Credit Card,3.7,False,7,2023,1,Jan,1
ORD-11361,CUST-5297,Suresh Joshi,38,Male,Raipur,Chhattisgarh,South,Silver,Furniture,Wardrobe,1,35941.49,0.0,35941.49,2023-06-16,Debit Card,2.8,False,5,2023,6,Jun,2
ORD-11657,CUST-5345,Raj Gupta,37,Male,Amritsar,Punjab,North,Gold,Sports,Running Shoes,4,5813.38,0.0,23253.52,2024-10-02,Debit Card,2.7,False,4,2024,10,Oct,4
ORD-10051,CUST-5674,Vinod Kapoor,20,Female,Kochi,Kerala,South,Bronze,Clothing,Sneakers,1,3839.66,0.1,3455.69,2023-09-05,Credit Card,4.1,False,6,2023,9,Sep,3
ORD-11624,CUST-5331,Suresh Kumar,26,Female,Guwahati,Assam,East,Gold,Groceries,Cooking Oil,1,92.73,0.0,92.73,2023-08-02,Debit Card,3.7,True,5,2023,8,Aug,3
ORD-10063,CUST-5689,Kunal Gupta,39,Male,Ranchi,Jharkhand,East,Bronze,Groceries,Atta (10kg),2,695.56,0.0,1391.12,2024-09-24,Debit Card,4.8,False,6,2024,9,Sep,3
ORD-12789,CUST-5142,Kavya Joshi,18,Female,Guwahati,Assam,East,Gold,Electronics,Bluetooth Speaker,1,72446.01750000002,0.05,68823.72,2024-08-05,Debit Card,4.0,True,8,2024,8,Aug,3
ORD-12553,CUST-5209,Vikram Reddy,70,Female,Bengaluru,Kerala,South,Gold,Furniture,Wardrobe,2,34515.07,0.05,65578.63,2024-07-10,Net Banking,2.5,False,8,2024,7,Jul,3
ORD-12530,CUST-5691,Geeta Patel,46,Female,Jaipur,Rajasthan,North,Bronze,Clothing,Jacket,1,1622.92,0.0,1622.92,2023-09-09,Net Banking,3.5,False,5,2023,9,Sep,3
ORD-11090,CUST-5291,Deepa Sharma,30,Male,Guwahati,Assam,East,Silver,Furniture,Bookshelf,1,22007.43,0.0,22007.43,2024-03-11,UPI,3.8,False,6,2024,3,Mar,1
ORD-11465,CUST-5017,Amit Reddy,38,Male,Patna,Bihar,East,Bronze,Clothing,T-Shirt,3,1504.24,0.15,3835.81,2024-08-07,Credit Card,3.6,False,6,2024,8,Aug,3
ORD-11896,CUST-5210,Divya Chatterjee,40,Male,Lucknow,Uttar Pradesh,North,Bronze,Clothing,Kurti,3,829.18,0.15,2114.41,2023-08-17,Credit Card,3.1,False,3,2023,8,Aug,3
ORD-10052,CUST-5547,Sanjay Patel,32,Female,Indore,Madhya Pradesh,Central,Bronze,Sports,Jump Rope,1,323.67,0.2,258.94,2024-08-19,UPI,4.9,False,4,2024,8,Aug,3
ORD-12807,CUST-5437,Sneha Kapoor,21,Male,Raipur,Chhattisgarh,Central,Gold,Clothing,T-Shirt,3,4526.72,0.15,11543.14,2024-03-23,UPI,3.3,False,6,2024,3,Mar,1
ORD-12763,CUST-5718,Neha Pillai,31,Female,Chennai,Tamil Nadu,South,Gold,Electronics,Smartphone,1,72446.01750000002,0.0,72446.02,2023-10-10,Debit Card,3.8,True,5,2023,10,Oct,4
ORD-12551,CUST-5687,Kavya Joshi,31,Female,Coimbatore,Tamil Nadu,South,Gold,Furniture,Sofa,1,20858.45,0.05,19815.53,2024-02-21,Credit Card,3.5,False,5,2024,2,Feb,1
ORD-12864,CUST-5331,Suresh Kumar,26,Female,Kolkata,West Bengal,East,Gold,Books,Business Guide,2,829.39,0.05,1575.84,2023-07-23,Credit Card,5.0,False,5,2023,7,Jul,3
ORD-10544,CUST-5360,Tarun Chatterjee,40,Male,Nashik,Maharashtra,West,Bronze,Books,Self Help,3,891.12,0.0,2673.36,2024-06-02,Net Banking,3.8,False,4,2024,6,Jun,2
ORD-12948,CUST-5705,Manish Shah,41,Female,Bhubaneswar,Odisha,East,Gold,Groceries,Tea Powder,3,457.41,0.0,1372.23,2024-11-18,Net Banking,3.4,False,5,2024,11,Nov,4
ORD-10450,CUST-5333,Suresh Reddy,28,Male,Bengaluru,Karnataka,South,Gold,Books,Machine Learning A-Z,5,902.94,0.0,4514.7,2023-08-24,UPI,3.7,False,4,2023,8,Aug,3
ORD-12515,CUST-5231,Geeta Patel,37,Male,Lucknow,Uttar Pradesh,North,Gold,Groceries,Sugar (1kg),1,3276.645,0.2,2621.32,2024-06-21,Debit Card,3.2,True,5,2024,6,Jun,2
ORD-10044,CUST-5275,Kunal Joshi,39,Male,Patna,Bihar,East,Bronze,Books,History of India,1,1191.78,0.0,1191.78,2023-06-23,Credit Card,4.0,False,5,2023,6,Jun,2
ORD-11001,CUST-5459,Manish Tiwari,23,Male,Pune,Maharashtra,West,Gold,Groceries,Atta (10kg),4,465.7,0.05,1769.66,2024-09-11,Debit Card,3.9,False,3,2024,9,Sep,3
ORD-11831,CUST-5612,Vinod Joshi,37,Male,Jaipur,Rajasthan,North,Gold,Electronics,Laptop,2,72446.01750000002,0.0,144892.04,2024-10-29,Credit Card,3.7,False,6,2024,10,Oct,4
ORD-10829,CUST-5796,Kiran Mehta,34,Female,Hyderabad,Telangana,South,Bronze,Books,Python Crash Course,1,186.53,0.0,186.53,2023-01-03,UPI,3.7,False,6,2023,1,Jan,1
ORD-10598,CUST-5787,Meera Singh,39,Female,Chandigarh,Punjab,North,Gold,Electronics,Headphones,3,16802.68,0.2,40326.43,2024-03-25,UPI,2.3,False,5,2024,3,Mar,1
ORD-10408,CUST-5535,Riya Iyer,35,Male,Bhopal,Madhya Pradesh,Central,Bronze,Clothing,Sneakers,1,3430.24,0.0,3430.24,2024-04-21,Credit Card,4.5,False,5,2024,4,Apr,2
ORD-12917,CUST-5258,Swati Reddy,39,Female,Bhubaneswar,Odisha,East,Bronze,Groceries,Sugar (1kg),1,716.93,0.25,537.7,2024-02-20,Debit Card,3.9,False,7,2024,2,Feb,1
ORD-10256,CUST-5259,Pooja Malhotra,42,Female,Ranchi,Jharkhand,East,Bronze,Clothing,Formal Shirt,2,1628.23,0.25,2442.35,2024-07-26,UPI,4.3,False,5,2024,7,Jul,3
ORD-12028,CUST-5514,Aarav Das,29,Female,Delhi,Delhi,North,Bronze,Books,Machine Learning A-Z,3,548.75,0.0,1646.25,2024-07-01,Credit Card,3.8,False,3,2024,7,Jul,3
ORD-12303,CUST-5002,Kavya Nair,41,Female,Bhubaneswar,Odisha,East,Gold,Clothing,Dress,3,2914.68,0.2,6995.23,2023-12-01,Debit Card,3.8,False,7,2023,12,Dec,4
ORD-11837,CUST-5619,Raj Gupta,37,Female,Chennai,Tamil Nadu,South,Silver,Furniture,Coffee Table,1,15784.51,0.1,14206.06,2023-07-21,Cash,3.4,False,5,2023,7,Jul,3
ORD-11702,CUST-5645,Suresh Kumar,32,Female,Ahmedabad,Gujarat,West,Bronze,Clothing,Jacket,2,2472.95,0.05,4698.6,2023-12-31,Debit Card,3.5,False,2,2023,12,Dec,4
ORD-12490,CUST-5196,Geeta Verma,26,Female,Bhopal,Madhya Pradesh,Central,Gold,Electronics,LED Monitor,3,21835.45,0.0,65506.35,2024-02-22,Debit Card,2.6,True,5,2024,2,Feb,1
ORD-11662,CUST-5493,Vikram Gupta,26,Male,Jaipur,Rajasthan,North,Silver,Books,Fiction Novel,2,189.04,0.0,378.08,2023-01-27,Net Banking,2.5,False,3,2023,1,Jan,1
ORD-10144,CUST-5216,Neha Reddy,27,Female,Chennai,Tamil Nadu,South,Silver,Electronics,LED Monitor,1,32275.06,0.0,32275.06,2023-06-27,Credit Card,4.5,True,7,2023,6,Jun,2
ORD-12090,CUST-5142,Kavya Joshi,18,Female,Bhopal,Madhya Pradesh,South,Gold,Electronics,Tablet,4,31526.63,0.0,126106.52,2023-10-01,Debit Card,3.9,False,5,2023,10,Oct,4
ORD-11292,CUST-5519,Riya Rao,35,Female,Delhi,Delhi,North,Bronze,Books,Data Science 101,2,1030.63,0.0,2061.26,2024-03-29,Debit Card,3.3,False,4,2024,3,Mar,1
ORD-12155,CUST-5511,Sneha Nair,34,Male,Patna,Bihar,East,Bronze,Furniture,Office Chair,1,14167.5,0.25,10625.62,2024-04-30,UPI,2.8,False,6,2024,4,Apr,2
ORD-10416,CUST-5773,Vikram Das,44,Male,Delhi,Delhi,North,Bronze,Sports,Badminton Racket,2,5219.71,0.1,9395.48,2023-02-25,UPI,3.4,False,6,2023,2,Feb,1
ORD-10929,CUST-5151,Neha Sharma,38,Male,Pune,Maharashtra,West,Gold,Electronics,Smart Watch,2,72446.01750000002,0.05,137647.43,2024-12-03,Debit Card,4.1,False,5,2024,12,Dec,4
ORD-12022,CUST-5023,Lakshmi Reddy,20,Female,Bengaluru,Madhya Pradesh,Central,Silver,Groceries,Pulses (1kg),5,120.52,0.0,602.6,2024-08-13,Debit Card,3.1,False,3,2024,8,Aug,3
ORD-10170,CUST-5132,Tarun Das,24,Female,Indore,Madhya Pradesh,Central,Silver,Sports,Yoga Mat,5,5585.62,0.0,27928.1,2024-05-16,UPI,4.2,False,7,2024,5,May,2
ORD-11125,CUST-5438,Arjun Pillai,18,Female,Delhi,Delhi,North,Bronze,Groceries,Ghee 500ml,1,314.23,0.25,235.67,2024-06-07,Cash,3.8,False,2,2024,6,Jun,2
ORD-10567,CUST-5337,Nisha Nair,31,Male,Amritsar,Punjab,North,Bronze,Books,Self Help,3,1235.23,0.0,3705.69,2024-08-31,Cash,3.9,False,3,2024,8,Aug,3
ORD-11590,CUST-5015,Swati Kumar,29,Male,Kolkata,West Bengal,East,Bronze,Furniture,Sofa,1,9787.11,0.0,9787.11,2024-02-19,Debit Card,3.1,False,6,2024,2,Feb,1
ORD-12673,CUST-5658,Lakshmi Nair,36,Male,Patna,Bihar,East,Gold,Sports,Football,1,1611.4,0.1,1450.26,2024-09-29,Cash,4.2,False,8,2024,9,Sep,3
ORD-10134,CUST-5075,Deepa Sharma,43,Male,Bhubaneswar,Odisha,East,Gold,Electronics,Bluetooth Speaker,2,70645.7,0.0,141291.4,2023-09-25,Debit Card,4.6,False,5,2023,9,Sep,3
ORD-11717,CUST-5321,Suresh Patel,40,Male,Kochi,Kerala,South,Bronze,Clothing,Kurti,3,2868.18,0.05,8174.31,2023-08-01,Debit Card,4.5,False,3,2023,8,Aug,3
ORD-10642,CUST-5763,Aarav Reddy,35,Male,Chandigarh,Punjab,North,Bronze,Books,Fiction Novel,3,1432.09,0.0,4296.27,2023-03-08,Net Banking,3.8,False,3,2023,3,Mar,1
ORD-11689,CUST-5162,Kunal Kapoor,46,Female,Lucknow,Uttar Pradesh,North,Gold,Electronics,Smartphone,4,54537.29,0.0,218149.16,2024-02-25,Net Banking,3.7,True,3,2024,2,Feb,1
ORD-12745,CUST-5107,Vinod Chatterjee,36,Female,Bhopal,Madhya Pradesh,Central,Gold,Sports,Running Shoes,1,5385.21,0.05,5115.95,2023-09-08,Debit Card,4.4,False,5,2023,9,Sep,3
ORD-10554,CUST-5480,Deepa Mehta,33,Male,Hyderabad,Telangana,South,Gold,Groceries,Atta (10kg),1,474.38,0.0,474.38,2023-03-29,UPI,3.3,False,4,2023,3,Mar,1
ORD-12174,CUST-5286,Arjun Das,33,Male,Ranchi,Jharkhand,East,Gold,Groceries,Tea Powder,4,439.87,0.0,1759.48,2024-09-26,Credit Card,3.8,False,5,2024,9,Sep,3
ORD-11538,CUST-5621,Vikram Malhotra,39,Male,Chennai,Tamil Nadu,South,Bronze,Sports,Jump Rope,1,4809.57,0.0,4809.57,2023-05-07,Debit Card,3.0,False,5,2023,5,May,2
ORD-10999,CUST-5249,Vinod Kapoor,39,Female,Bhubaneswar,Odisha,East,Gold,Groceries,Biscuits,2,701.37,0.1,1262.47,2023-07-19,Cash,4.6,False,5,2023,7,Jul,3
ORD-10291,CUST-5605,Vinod Gupta,53,Male,Indore,Madhya Pradesh,Central,Bronze,Sports,Jump Rope,2,6048.29,0.0,12096.58,2023-05-19,Net Banking,4.0,False,7,2023,5,May,2
